trades,avg_R,win_rate,breakeven_rate,loss_rate,last_entry_time
88012,0.4460073626323683,0.22300368131618414,0.7769963186838158,0.0,16.0
88012,0.4460073626323683,0.22300368131618414,0.7769963186838158,0.0,15.5
87840,0.4457422586520947,0.22287112932604736,0.7771288706739526,0.0,15.0
85883,0.4444884319364717,0.22224421596823585,0.7777557840317642,0.0,14.5
84178,0.4442253320344983,0.22211266601724916,0.7778873339827508,0.0,14.0
